               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051242,             0.01787,            0.036525,             0.26921,             0.84124,             0.37945,             0.27425,            0.020008,            0.004255,            0.023137,            0.070142,           0.0033175,           0.0033175
                   1,            0.030249,            0.009916,            0.033346,             0.46314,             0.77073,             0.43396,             0.32999,            0.012439,           0.0026767,            0.022473,            0.040109,           0.0066179,           0.0066179
                   2,            0.023471,           0.0075613,            0.032306,             0.47935,               0.787,             0.45223,             0.36011,            0.013114,           0.0027904,            0.021811,            0.010043,           0.0098854,           0.0098854
                   3,            0.018668,           0.0063484,            0.031879,             0.44876,             0.80759,              0.4597,             0.40092,           0.0065363,            0.002312,             0.02175,           0.0098515,           0.0098515,           0.0098515
                   4,            0.015866,           0.0056783,            0.031521,             0.42804,              0.8219,             0.49529,             0.45965,           0.0052879,           0.0020639,            0.021925,           0.0098515,           0.0098515,           0.0098515
                   5,            0.014655,            0.005297,             0.03135,             0.41058,             0.82001,             0.51923,             0.48884,           0.0055912,           0.0019203,            0.020597,            0.009802,            0.009802,            0.009802
                   6,            0.013788,           0.0051271,            0.030959,             0.45131,              0.7795,             0.51149,             0.48379,           0.0050274,           0.0020051,            0.021309,           0.0097525,           0.0097525,           0.0097525
                   7,            0.013026,           0.0049828,            0.031185,             0.46823,             0.80857,             0.52814,             0.49725,           0.0047801,           0.0018855,            0.021094,            0.009703,            0.009703,            0.009703
                   8,            0.012589,           0.0048606,            0.031011,             0.47344,              0.7378,             0.53732,             0.51072,           0.0047111,           0.0019541,            0.020189,           0.0096535,           0.0096535,           0.0096535
                   9,            0.012167,           0.0047187,            0.030922,             0.47341,             0.79777,             0.49849,             0.47211,           0.0045897,           0.0018413,            0.021426,            0.009604,            0.009604,            0.009604
                  10,            0.011649,           0.0046227,            0.030824,             0.44285,             0.79348,             0.48768,             0.46661,           0.0043486,           0.0019335,             0.02182,           0.0095545,           0.0095545,           0.0095545
                  11,            0.011331,           0.0045515,            0.030676,             0.45222,             0.78274,             0.54176,             0.52369,           0.0040172,           0.0017243,             0.02036,            0.009505,            0.009505,            0.009505
                  12,            0.011103,           0.0044499,            0.030765,             0.50064,             0.78174,             0.54555,             0.52264,             0.00448,           0.0016983,            0.020616,           0.0094555,           0.0094555,           0.0094555
                  13,            0.010888,           0.0044242,            0.030695,              0.4769,             0.77544,             0.52186,             0.50309,           0.0039752,           0.0017754,            0.020377,            0.009406,            0.009406,            0.009406
                  14,            0.010727,           0.0044011,            0.030711,             0.48299,             0.80814,             0.54522,             0.52411,            0.004203,           0.0017378,             0.02053,           0.0093565,           0.0093565,           0.0093565
                  15,            0.010511,           0.0043692,            0.030728,             0.49762,             0.80078,             0.54506,             0.52664,           0.0039261,           0.0017159,             0.02091,            0.009307,            0.009307,            0.009307
                  16,            0.010285,           0.0043218,            0.030565,             0.50355,             0.79139,             0.55395,             0.53668,           0.0039169,           0.0016902,            0.020878,           0.0092575,           0.0092575,           0.0092575
                  17,            0.010312,           0.0043017,            0.030523,             0.49774,              0.7574,             0.55936,             0.54077,           0.0038821,           0.0016351,             0.01992,            0.009208,            0.009208,            0.009208
                  18,            0.010169,           0.0042842,            0.030548,             0.49753,             0.78226,              0.5451,             0.52734,           0.0039506,           0.0017377,            0.020365,           0.0091585,           0.0091585,           0.0091585
                  19,            0.010081,           0.0042414,            0.030394,             0.51266,             0.76049,              0.5674,                0.55,           0.0039054,           0.0017456,            0.019845,            0.009109,            0.009109,            0.009109
                  20,             0.01006,           0.0042633,            0.030465,             0.50948,             0.75745,             0.56928,             0.55518,            0.003778,           0.0016326,            0.019693,           0.0090595,           0.0090595,           0.0090595
                  21,           0.0098376,           0.0042204,             0.03034,             0.47951,             0.75149,             0.53184,              0.5152,           0.0038597,           0.0017786,            0.020365,             0.00901,             0.00901,             0.00901
                  22,           0.0097866,           0.0042227,            0.030392,             0.49693,             0.78857,             0.54801,             0.53346,           0.0037376,           0.0016637,            0.021622,           0.0089605,           0.0089605,           0.0089605
                  23,           0.0097328,            0.004154,            0.030417,             0.49091,             0.82745,             0.56341,             0.54691,            0.003831,           0.0016371,            0.020774,            0.008911,            0.008911,            0.008911
                  24,           0.0096048,           0.0041299,             0.03043,             0.51252,             0.74251,             0.57239,             0.55967,           0.0037358,           0.0016913,            0.019866,           0.0088615,           0.0088615,           0.0088615
                  25,           0.0096278,           0.0041006,            0.030383,              0.4861,             0.77836,             0.55174,             0.53821,           0.0037721,           0.0016799,            0.019972,            0.008812,            0.008812,            0.008812
                  26,            0.009588,           0.0040996,            0.030134,             0.51262,             0.78539,             0.57726,             0.56522,           0.0036768,           0.0016304,            0.020142,           0.0087625,           0.0087625,           0.0087625
                  27,           0.0095752,           0.0041247,            0.030194,             0.50297,             0.75944,             0.56997,             0.55789,           0.0036506,           0.0015935,            0.019598,            0.008713,            0.008713,            0.008713
                  28,            0.009486,           0.0041021,            0.030456,             0.50211,             0.75593,             0.57439,             0.56149,           0.0036896,           0.0016296,            0.019603,           0.0086635,           0.0086635,           0.0086635
                  29,           0.0094097,           0.0040673,            0.030226,             0.51005,             0.77524,             0.57895,             0.56669,           0.0036188,           0.0015966,            0.019524,            0.008614,            0.008614,            0.008614
                  30,           0.0093785,           0.0040762,            0.030265,             0.50946,             0.75228,              0.5755,              0.5623,           0.0036497,           0.0016138,            0.019339,           0.0085645,           0.0085645,           0.0085645
                  31,           0.0093154,           0.0040772,            0.030272,             0.50723,             0.76965,              0.5799,             0.56809,           0.0036075,           0.0016192,            0.019443,            0.008515,            0.008515,            0.008515
                  32,            0.009286,           0.0040619,            0.030204,             0.52882,             0.76929,             0.57735,             0.56618,           0.0035177,           0.0016222,            0.019701,           0.0084655,           0.0084655,           0.0084655
                  33,           0.0093492,           0.0040415,            0.030262,             0.51298,             0.78388,             0.57738,             0.56608,           0.0035668,           0.0015978,             0.01993,            0.008416,            0.008416,            0.008416
                  34,           0.0091731,           0.0040683,             0.03008,              0.5057,             0.75872,             0.57816,             0.56692,            0.003578,           0.0015698,            0.019558,           0.0083665,           0.0083665,           0.0083665
                  35,           0.0091549,            0.004019,            0.030164,             0.50146,             0.75331,             0.58169,              0.5696,           0.0035379,           0.0016449,            0.019452,            0.008317,            0.008317,            0.008317
                  36,           0.0091487,           0.0040052,            0.030272,             0.52593,             0.74943,             0.59017,             0.57941,           0.0035154,           0.0015471,            0.019472,           0.0082675,           0.0082675,           0.0082675
                  37,           0.0091588,           0.0039968,            0.030204,             0.51466,              0.7576,             0.59347,             0.58203,           0.0035492,           0.0015792,             0.01928,            0.008218,            0.008218,            0.008218
                  38,           0.0091095,           0.0039996,            0.030043,             0.51796,              0.7576,             0.58949,             0.57929,           0.0035164,           0.0015866,            0.019292,           0.0081685,           0.0081685,           0.0081685
                  39,            0.009088,           0.0040467,            0.030097,             0.50128,             0.75386,             0.58597,             0.57533,           0.0035522,           0.0015875,            0.019341,            0.008119,            0.008119,            0.008119
                  40,           0.0090541,           0.0039487,            0.030044,             0.52002,             0.76915,             0.58913,             0.57899,           0.0034813,           0.0016104,             0.01938,           0.0080695,           0.0080695,           0.0080695
                  41,            0.009028,           0.0039454,            0.030129,              0.5115,             0.76447,             0.58928,             0.57859,           0.0035006,           0.0015784,             0.01931,             0.00802,             0.00802,             0.00802
                  42,           0.0089721,            0.003979,            0.030032,               0.515,             0.77864,             0.58836,             0.57811,           0.0035195,           0.0015647,            0.019303,           0.0079705,           0.0079705,           0.0079705
                  43,           0.0089312,           0.0039857,            0.030151,              0.5153,             0.76784,             0.59003,             0.58014,           0.0034966,           0.0015841,            0.019324,            0.007921,            0.007921,            0.007921
                  44,           0.0089885,           0.0039162,            0.030023,             0.53001,             0.74905,             0.59692,             0.58694,           0.0034668,           0.0015937,            0.019201,           0.0078715,           0.0078715,           0.0078715
                  45,           0.0088487,           0.0039652,             0.02996,             0.52248,             0.77196,             0.59889,             0.58858,           0.0034699,           0.0016004,            0.019256,            0.007822,            0.007822,            0.007822
                  46,           0.0088896,           0.0039407,             0.02991,             0.53289,             0.75613,             0.60076,             0.59082,           0.0034786,           0.0015697,            0.019172,           0.0077725,           0.0077725,           0.0077725
                  47,           0.0088548,           0.0039335,            0.030068,             0.51852,             0.76802,             0.59898,              0.5883,           0.0034788,           0.0015836,            0.019227,            0.007723,            0.007723,            0.007723
                  48,           0.0088493,           0.0039367,            0.029946,             0.51438,             0.76152,              0.5928,              0.5828,           0.0034634,           0.0015779,            0.019222,           0.0076735,           0.0076735,           0.0076735
                  49,            0.008842,           0.0039491,            0.029863,             0.50738,              0.7652,             0.59638,             0.58635,           0.0034583,           0.0016074,            0.019135,            0.007624,            0.007624,            0.007624
                  50,           0.0087389,           0.0039399,            0.029956,             0.52121,             0.75716,             0.60032,             0.59045,           0.0034601,           0.0015841,            0.019069,           0.0075745,           0.0075745,           0.0075745
                  51,           0.0088558,           0.0039485,            0.029952,             0.51295,             0.75527,             0.59822,             0.58856,           0.0034503,           0.0015669,            0.019129,            0.007525,            0.007525,            0.007525
